Name,Identifier,Weight,Sector,Shares Held
Microsoft Corporation,MSFT,4.337158,Information Technology,82053380.000
Apple Inc.,AAPL,3.814964,Information Technology,46804824.000
Amazon.com Inc.,AMZN,3.067324,Consumer Discretionary,4428080.000
Facebook Inc. Class A,FB,1.796666,Communication Services,25726340.000
Berkshire Hathaway Inc. Class B,BRK-B,1.600123,Financials,20749764.000
Alphabet Inc. Class C,GOOG,1.497721,Communication Services,3281957.000
Alphabet Inc. Class A,GOOGL,1.465727,Communication Services,3206484.000
JPMorgan Chase & Co.,JPM,1.448819,Financials,34736176.000
Johnson & Johnson,JNJ,1.431758,Health Care,28430296.000
Visa Inc. Class A,V,1.286508,Information Technology,18620886.000
Procter & Gamble Company,PG,1.230534,Consumer Staples,26859256.000
Exxon Mobil Corporation,XOM,1.209222,Energy,45306600.000
AT&T Inc.,T,1.060996,Communication Services,78146650.000
Mastercard Incorporated Class A,MA,1.036933,Information Technology,9626698.000
Home Depot Inc.,HD,0.998973,Consumer Discretionary,11781476.000
Bank of America Corp,BAC,0.987692,Financials,94686830.000
Walt Disney Company,DIS,0.975874,Communication Services,18692912.000
Verizon Communications Inc.,VZ,0.964665,Communication Services,44285180.000
Chevron Corporation,CVX,0.921284,Energy,20397826.000
Merck & Co. Inc.,MRK,0.917816,Health Care,27587596.000
UnitedHealth Group Incorporated,UNH,0.909386,Health Care,10176106.000
Intel Corporation,INTC,0.860360,Information Technology,47939920.000
Coca-Cola Company,KO,0.860026,Consumer Staples,41140730.000
Cisco Systems Inc.,CSCO,0.847256,Information Technology,45837930.000
Comcast Corporation Class A,CMCSA,0.814949,Communication Services,48532370.000
Pfizer Inc.,PFE,0.800059,Health Care,59448370.000
PepsiCo Inc.,PEP,0.764458,Consumer Staples,15020726.000
Boeing Company,BA,0.762322,Industrials,5606734.000
Wells Fargo & Company,WFC,0.758549,Financials,43341684.000
McDonald's Corporation,MCD,0.688935,Consumer Discretionary,8181643.000
Walmart Inc.,WMT,0.643505,Consumer Staples,14988574.000
Abbott Laboratories,ABT,0.611857,Health Care,18903356.000
Citigroup Inc.,C,0.607525,Financials,24778360.000
Medtronic Plc,MDT,0.594288,Health Care,14365973.000
Adobe Inc.,ADBE,0.577059,Information Technology,5228449.000
Netflix Inc.,NFLX,0.533648,Communication Services,4684662.000
Oracle Corporation,ORCL,0.530566,Information Technology,26000824.000
Philip Morris International Inc.,PM,0.530511,Consumer Staples,16670771.000
PayPal Holdings Inc,PYPL,0.525346,Information Technology,12589653.000
salesforce.com inc.,CRM,0.520366,Information Technology,9149996.000
Accenture Plc Class A,ACN,0.514782,Information Technology,6834261.000
Amgen Inc.,AMGN,0.510039,Health Care,6535620.000
Costco Wholesale Corporation,COST,0.506074,Consumer Staples,4712563.000
International Business Machines Corporation,IBM,0.489226,Information Technology,9493932.000
Honeywell International Inc.,HON,0.487307,Industrials,7797570.000
Union Pacific Corporation,UNP,0.483202,Industrials,7584286.000
Texas Instruments Incorporated,TXN,0.482883,Information Technology,10052650.000
